target,mode,train_persona,train_size,layer,eval_persona,cohen_d,auc,n_pos,n_neg
harm,default_sweep,default,50,25,default,3.6027566234631654,0.971136,250,250
harm,default_sweep,default,50,25,helpful_assistant,3.5837224756140946,0.97032,250,250
harm,default_sweep,default,50,25,sadist,3.0074027447040472,0.963024,250,250
harm,default_sweep,default,50,25,villain,3.276467931669551,0.964944,250,250
harm,default_sweep,default,50,25,pathological_liar,3.129784592157979,0.963536,250,250
harm,default_sweep,default,50,25,Aura,3.0401141861972776,0.96416,250,250
harm,default_sweep,default,50,25,mathematician,3.2314171414978574,0.96752,250,250
harm,default_sweep,default,50,25,neutral_long,3.245707075870753,0.976272,250,250
harm,default_sweep,default,50,32,default,4.162895343569483,0.981088,250,250
harm,default_sweep,default,50,32,helpful_assistant,4.108925718007587,0.983136,250,250
harm,default_sweep,default,50,32,sadist,2.615555471345393,0.9694080000000002,250,250
harm,default_sweep,default,50,32,villain,3.480082985132858,0.986752,250,250
harm,default_sweep,default,50,32,pathological_liar,3.320966361238132,0.985312,250,250
harm,default_sweep,default,50,32,Aura,3.0947764764463757,0.9723519999999999,250,250
harm,default_sweep,default,50,32,mathematician,3.3013357090038187,0.9797759999999999,250,250
harm,default_sweep,default,50,32,neutral_long,3.6538667723409817,0.986464,250,250
harm,default_sweep,default,50,39,default,4.085915544948367,0.9788,250,250
harm,default_sweep,default,50,39,helpful_assistant,3.969894848170989,0.978912,250,250
harm,default_sweep,default,50,39,sadist,2.5830458077755547,0.969232,250,250
harm,default_sweep,default,50,39,villain,3.1366826710544786,0.982096,250,250
harm,default_sweep,default,50,39,pathological_liar,3.2827848152902357,0.9854719999999999,250,250
harm,default_sweep,default,50,39,Aura,2.817295649923686,0.9673599999999999,250,250
harm,default_sweep,default,50,39,mathematician,3.1851860255242106,0.980768,250,250
harm,default_sweep,default,50,39,neutral_long,3.3618188036082155,0.9820319999999999,250,250
harm,default_sweep,default,50,46,default,4.152575331882565,0.9797279999999999,250,250
harm,default_sweep,default,50,46,helpful_assistant,3.9245296077455065,0.979024,250,250
harm,default_sweep,default,50,46,sadist,2.7834426847596,0.9734079999999999,250,250
harm,default_sweep,default,50,46,villain,3.2581680309554235,0.978768,250,250
harm,default_sweep,default,50,46,pathological_liar,3.239485239026359,0.979728,250,250
harm,default_sweep,default,50,46,Aura,3.055563283161281,0.970304,250,250
harm,default_sweep,default,50,46,mathematician,3.199382395873784,0.978384,250,250
harm,default_sweep,default,50,46,neutral_long,3.410762361295452,0.9800479999999999,250,250
harm,default_sweep,default,50,53,default,4.030007363935516,0.97864,250,250
harm,default_sweep,default,50,53,helpful_assistant,3.829198273414311,0.976096,250,250
harm,default_sweep,default,50,53,sadist,2.684339217162425,0.9684159999999999,250,250
harm,default_sweep,default,50,53,villain,3.2442768122167243,0.978352,250,250
harm,default_sweep,default,50,53,pathological_liar,3.170180461105784,0.979024,250,250
harm,default_sweep,default,50,53,Aura,3.095915874840713,0.968928,250,250
harm,default_sweep,default,50,53,mathematician,3.208398655029852,0.978112,250,250
harm,default_sweep,default,50,53,neutral_long,3.310505600939758,0.9792160000000001,250,250
harm,mixed_persona,mixed4,3560,25,default,4.992671951307129,0.9963519999999999,250,250
harm,mixed_persona,mixed4,3560,25,helpful_assistant,5.044845016551115,0.997536,250,250
harm,mixed_persona,mixed4,3560,25,sadist,6.354132022803503,0.999904,250,250
harm,mixed_persona,mixed4,3560,25,villain,6.583729798099979,0.999952,250,250
harm,mixed_persona,mixed4,3560,25,pathological_liar,6.59770703098508,0.9998079999999999,250,250
harm,mixed_persona,mixed4,3560,25,Aura,4.567728143073918,0.9976959999999999,250,250
harm,mixed_persona,mixed4,3560,25,mathematician,4.4080887074863915,0.998,250,250
harm,mixed_persona,mixed4,3560,25,neutral_long,5.104779007418059,0.99896,250,250
harm,mixed_persona,mixed4,3560,32,default,4.697255991510786,0.997888,250,250
harm,mixed_persona,mixed4,3560,32,helpful_assistant,4.209526228455512,0.9990559999999999,250,250
harm,mixed_persona,mixed4,3560,32,sadist,6.091615077832554,0.998944,250,250
harm,mixed_persona,mixed4,3560,32,villain,6.503853907758357,1.0,250,250
harm,mixed_persona,mixed4,3560,32,pathological_liar,6.496661780029197,0.999856,250,250
harm,mixed_persona,mixed4,3560,32,Aura,3.2019492488678836,0.989616,250,250
harm,mixed_persona,mixed4,3560,32,mathematician,4.044113828660811,0.9959520000000001,250,250
harm,mixed_persona,mixed4,3560,32,neutral_long,3.94325784925282,0.9955040000000001,250,250
harm,mixed_persona,mixed4,3560,39,default,4.366088478556978,0.998208,250,250
harm,mixed_persona,mixed4,3560,39,helpful_assistant,3.859779869030291,0.997072,250,250
harm,mixed_persona,mixed4,3560,39,sadist,5.886990102749148,0.999872,250,250
harm,mixed_persona,mixed4,3560,39,villain,5.919898093970932,0.99984,250,250
harm,mixed_persona,mixed4,3560,39,pathological_liar,5.9802419810583345,0.999728,250,250
harm,mixed_persona,mixed4,3560,39,Aura,3.6351213631906543,0.991968,250,250
harm,mixed_persona,mixed4,3560,39,mathematician,4.474670680304086,0.9976160000000001,250,250
harm,mixed_persona,mixed4,3560,39,neutral_long,4.557454533280753,0.9982719999999999,250,250
harm,mixed_persona,mixed4,3560,46,default,4.319807540355577,0.998272,250,250
harm,mixed_persona,mixed4,3560,46,helpful_assistant,4.418923822524026,0.997776,250,250
harm,mixed_persona,mixed4,3560,46,sadist,5.337777729876934,0.999776,250,250
harm,mixed_persona,mixed4,3560,46,villain,5.180553606400225,0.998928,250,250
