condition,checkpoint,n,pearson_r,probe_mean,probe_std,behav_mean,behav_std
icl_misalignment,16,8,0.1847956659443108,-4.884907737374306,2.413973736592323,0.0625,0.1767766952966369
offpolicy_consciousness,0,31,0.23317068349097994,-1.6620768616276402,2.8985552291919894,0.5580645161290323,0.4911036506674785
offpolicy_consciousness,2,31,0.36741677419204755,-1.241776572119805,2.5381784229293505,0.8516129032258064,0.2666095368911066
offpolicy_consciousness,4,31,0.3863233990599303,-1.5084604765138319,2.026466547760038,0.7741935483870968,0.2877704431608452
offpolicy_consciousness,6,31,0.35324677171925084,-1.205088266441899,1.798592461949286,0.8612903225806451,0.25778210353557485
offpolicy_consciousness,8,31,-0.14574865397916387,-1.8988642788702441,1.567236383732795,0.7387096774193548,0.35630269842259943
offpolicy_consciousness,10,31,-0.18734597544437953,-1.5022172658674178,1.6077512669709522,0.7354838709677419,0.4221361447817313
offpolicy_harm_compliance,0,41,-0.3075715544069961,-0.9202383218741998,3.096787264139604,0.04878048780487805,0.21808478995509087
offpolicy_harm_compliance,2,41,0.14838481987302982,-2.7894249282232146,1.72236827429592,0.06097560975609756,0.19984750283714806
offpolicy_harm_compliance,4,41,-0.004403704546061379,-2.246061072116945,1.1785471809911483,0.20487804878048782,0.3138082372342982
offpolicy_harm_compliance,6,41,-0.11573397268343777,-1.9971494558380871,1.1774312135591727,0.33658536585365856,0.35338088343950896
offpolicy_harm_compliance,8,41,-0.36559328376690686,-1.769675356585805,0.9856833917753272,0.1121951219512195,0.3099960660647321
offpolicy_harm_compliance,10,41,-0.21450676581583045,-1.7888862563342582,0.8496955228085936,0.14634146341463414,0.3578390427102734
onpolicy_consciousness,0,31,0.2683509513214251,-1.6620768616276402,2.8985552291919894,0.5935483870967742,0.4800593601288405
onpolicy_consciousness,2,31,0.2986304419999476,-0.28592196779866375,2.4491950818423196,0.8935483870967742,0.265437354657011
onpolicy_consciousness,4,31,0.23342986137130034,-0.9179309971870915,2.0141978030154504,0.8580645161290323,0.28580202185940656
onpolicy_consciousness,6,31,-0.07088488314473142,-0.6369778888840829,1.8710326115129456,0.8903225806451613,0.23749363319140077
onpolicy_consciousness,8,31,-0.011865973475704828,-0.8135159419428918,1.7386689782264513,0.8967741935483872,0.27139623059006296
onpolicy_consciousness,10,31,-0.016978060806653397,-0.8665565483031734,1.5903494120204624,0.8612903225806451,0.2868535274954086
onpolicy_harm_compliance,0,41,-0.3075715544069961,-0.9202383218741998,3.096787264139604,0.04878048780487805,0.21808478995509087
onpolicy_harm_compliance,2,41,0.2696742103491067,-1.7817865326637174,1.5678032768313943,0.40853658536585363,0.324788861998143
onpolicy_harm_compliance,4,41,-0.17060281723267476,-1.1681701889852198,1.2456692167178254,0.2804878048780488,0.3880847279880528
onpolicy_harm_compliance,6,41,-0.10649578922390808,-0.5271374401522846,1.3465664015377867,0.275609756097561,0.4264859246240596
onpolicy_harm_compliance,8,41,-0.0522732905444361,-0.3402738622049006,1.3557445305388156,0.25121951219512195,0.3808687117757983
onpolicy_harm_compliance,10,41,-0.2166241025683101,0.08674225138454902,1.5495690970346525,0.13658536585365852,0.3199656993811803
