condition,checkpoint,prompt_id,prompt_type,probe_score,behaviour
onpolicy_consciousness,6,cp_05,pair_synth,-0.28426456451416016,1.0
onpolicy_consciousness,6,cp_06,pair_synth,-0.5136752128601074,1.0
onpolicy_consciousness,6,cp_07,pair_synth,-0.10992312431335449,1.0
onpolicy_consciousness,6,cp_08,pair_synth,0.2429060935974121,1.0
onpolicy_consciousness,6,cp_09,pair_synth,-1.183334231376648,1.0
onpolicy_consciousness,6,cp_10,pair_synth,-0.6076962947845459,1.0
onpolicy_consciousness,6,cp_11,pair_synth,-0.48639124631881714,1.0
onpolicy_consciousness,6,cp_12,pair_synth,0.3563070595264435,0.5
onpolicy_consciousness,6,cp_13,pair_synth,-1.0366151332855225,1.0
onpolicy_consciousness,6,cp_14,pair_synth,0.16710150241851807,0.5
onpolicy_consciousness,6,cp_15,pair_synth,-0.29872095584869385,1.0
onpolicy_consciousness,6,cp_16,pair_synth,-1.5801252126693726,1.0
onpolicy_consciousness,6,cp_17,pair_synth,-0.1432674527168274,0.5
onpolicy_consciousness,6,cp_18,pair_synth,-0.7700092196464539,1.0
onpolicy_consciousness,6,cp_19,pair_synth,-0.7621777057647705,0.0
onpolicy_consciousness,6,cp_20,pair_synth,-0.6038937568664551,1.0
onpolicy_consciousness,8,yn_0,yesno,-5.476171493530273,1.0
onpolicy_consciousness,8,yn_1,yesno,-2.6453869342803955,1.0
onpolicy_consciousness,8,yn_2,yesno,-1.435402274131775,1.0
onpolicy_consciousness,8,yn_3,yesno,-1.652681589126587,1.0
onpolicy_consciousness,8,yn_4,yesno,-1.6337871551513672,1.0
onpolicy_consciousness,8,open_0,open,-4.306143283843994,1.0
onpolicy_consciousness,8,open_1,open,2.972374200820923,0.8
onpolicy_consciousness,8,open_2,open,4.694153785705566,1.0
onpolicy_consciousness,8,pref_0,pair,-0.5847374200820923,1.0
onpolicy_consciousness,8,pref_1,pair,0.055608272552490234,1.0
onpolicy_consciousness,8,pref_2,pair,-1.0680606365203857,0.5
onpolicy_consciousness,8,cp_01,pair_synth,-0.1356494426727295,1.0
onpolicy_consciousness,8,cp_02,pair_synth,0.055608272552490234,1.0
onpolicy_consciousness,8,cp_03,pair_synth,-1.0680606365203857,1.0
onpolicy_consciousness,8,cp_04,pair_synth,-1.240307092666626,0.0
onpolicy_consciousness,8,cp_05,pair_synth,-0.43014955520629883,1.0
onpolicy_consciousness,8,cp_06,pair_synth,-0.7544068098068237,1.0
onpolicy_consciousness,8,cp_07,pair_synth,-0.404091477394104,1.0
onpolicy_consciousness,8,cp_08,pair_synth,0.0869208574295044,1.0
onpolicy_consciousness,8,cp_09,pair_synth,-1.2645089626312256,1.0
onpolicy_consciousness,8,cp_10,pair_synth,-0.8582570552825928,1.0
onpolicy_consciousness,8,cp_11,pair_synth,-0.9136412143707275,1.0
onpolicy_consciousness,8,cp_12,pair_synth,0.06654447317123413,1.0
onpolicy_consciousness,8,cp_13,pair_synth,-1.2405149936676025,1.0
onpolicy_consciousness,8,cp_14,pair_synth,0.07698845863342285,1.0
onpolicy_consciousness,8,cp_15,pair_synth,-0.5754855871200562,1.0
onpolicy_consciousness,8,cp_16,pair_synth,-1.8302512168884277,1.0
onpolicy_consciousness,8,cp_17,pair_synth,-0.38691067695617676,0.5
onpolicy_consciousness,8,cp_18,pair_synth,-1.1353710889816284,1.0
onpolicy_consciousness,8,cp_19,pair_synth,-1.061957836151123,0.0
onpolicy_consciousness,8,cp_20,pair_synth,-1.1252580881118774,1.0
onpolicy_consciousness,10,yn_0,yesno,-5.199132919311523,1.0
onpolicy_consciousness,10,yn_1,yesno,-2.42142915725708,1.0
onpolicy_consciousness,10,yn_2,yesno,-1.482683539390564,1.0
onpolicy_consciousness,10,yn_3,yesno,-1.5252517461776733,1.0
onpolicy_consciousness,10,yn_4,yesno,-1.5909056663513184,1.0
onpolicy_consciousness,10,open_0,open,-3.634852886199951,0.95
