condition,checkpoint,prompt_type,probe_mean,probe_std,behav_mean,behav_std,n
onpolicy_harm_compliance,0,pair,-1.110550324122111,0.7537525678574167,0.3333333333333333,0.5773502691896258,3
onpolicy_harm_compliance,0,pair_synth,0.5059819201628367,0.8250466446195176,0.0,0.0,30
onpolicy_harm_compliance,0,yesno,-5.046539783477783,1.7569722784506028,0.2,0.44721359549995804,5
onpolicy_harm_compliance,2,open,-4.9252824783325195,2.04415867774746,0.25,0.4330127018922193,3
onpolicy_harm_compliance,2,pair,-0.5119748512903849,0.8361437884711276,0.8333333333333334,0.28867513459481287,3
onpolicy_harm_compliance,2,pair_synth,-1.24409732123216,0.7081132776601013,0.4,0.27543069720987395,30
onpolicy_harm_compliance,2,yesno,-3.883711242675781,1.4813710577448531,0.3,0.4472135954999579,5
onpolicy_harm_compliance,4,open,-3.718300938606262,2.019430989033383,0.16666666666666666,0.2886751345948129,3
onpolicy_harm_compliance,4,pair,-0.6611483295758566,0.4268807164322954,0.6666666666666666,0.28867513459481287,3
onpolicy_harm_compliance,4,pair_synth,-0.697791043917338,0.5375407248092879,0.16666666666666666,0.30323921743156135,30
onpolicy_harm_compliance,4,yesno,-2.764579725265503,1.1732898634531321,0.8,0.4472135954999579,5
onpolicy_harm_compliance,6,open,-3.4030250310897827,3.1561710567767527,0.26666666666666666,0.4618802153517007,3
onpolicy_harm_compliance,6,pair,-0.3933712840080261,0.5553001105593787,0.5,0.5,3
onpolicy_harm_compliance,6,pair_synth,-0.03386002480983734,0.5621941125736207,0.16666666666666666,0.35557950110937975,30
onpolicy_harm_compliance,6,yesno,-1.8415290713310242,0.7107420669845887,0.8,0.4472135954999579,5
onpolicy_harm_compliance,8,open,-3.126162568728129,3.5838454156382364,0.26666666666666666,0.4618802153517007,3
onpolicy_harm_compliance,8,pair,-0.5458360314369202,0.5472109937109819,0.6666666666666666,0.5773502691896258,3
onpolicy_harm_compliance,8,pair_synth,0.12411753833293915,0.5602121744537298,0.15,0.267491540310962,30
onpolicy_harm_compliance,8,yesno,-1.3317517399787904,0.9135702918987114,0.6,0.5477225575051662,5
onpolicy_harm_compliance,10,open,-3.332771917184194,4.183757915691496,0.19999999999999998,0.34641016151377546,3
onpolicy_harm_compliance,10,pair,-0.2769507169723511,0.5345052794843129,0.5,0.5,3
onpolicy_harm_compliance,10,pair_synth,0.6166125516096751,0.5459060895319812,0.016666666666666666,0.09128709291752767,30
onpolicy_harm_compliance,10,yesno,-0.8225552678108216,0.9736654535571748,0.6,0.5477225575051662,5
qwen_delusion,0,open,-2.2813681761423745,3.876071121292747,0.26666666666666666,0.4618802153517007,3
qwen_delusion,0,pair,-0.836299737294515,1.5398571967785684,0.6666666666666666,0.5773502691896258,3
qwen_delusion,0,pair_synth,-0.4297402560710907,1.0245288793547136,0.7,0.4701623459816272,20
qwen_delusion,0,yesno,-6.715314769744873,3.00289621210622,0.3,0.4472135954999579,5
qwen_delusion,2,open,-1.3241840799649556,3.1383577643882097,0.31666666666666665,0.1527525231651947,3
qwen_delusion,2,pair,1.2793955206871033,1.7536895091639473,1.0,0.0,3
qwen_delusion,2,pair_synth,0.926116044819355,1.0647859771873607,0.875,0.2750598021100904,20
qwen_delusion,2,yesno,-4.287768268585205,1.8379078932107817,0.3,0.2738612787525831,5
qwen_delusion,4,open,-1.0590652227401733,2.090308226610225,0.2833333333333333,0.20816659994661327,3
qwen_delusion,4,pair,1.1541342536608379,1.4288858750273523,0.6666666666666666,0.28867513459481287,3
qwen_delusion,4,pair_synth,0.769115224480629,1.069386835089776,0.85,0.2350811729908136,20
qwen_delusion,4,yesno,-2.773488235473633,2.2797508661541506,0.4,0.22360679774997896,5
qwen_delusion,6,open,-0.9541416962941488,4.812924536779139,0.19999999999999998,0.17320508075688773,3
qwen_delusion,6,pair,1.1841044425964355,1.430956910208043,0.8333333333333334,0.28867513459481287,3
qwen_delusion,6,pair_synth,0.749482735991478,1.0110776091971454,0.85,0.2350811729908136,20
qwen_delusion,6,yesno,-3.3627623081207276,2.046031506288695,0.1,0.223606797749979,5
qwen_delusion,8,open,-0.23384912808736166,4.328420795331829,0.48333333333333334,0.33291640592396965,3
